Year,Avg Mag
1480,8.0
1490,0.0
1500,0.0
1510,0.0
1520,8.7
1530,0.0
1540,0.0
1550,0.0
1560,8.0
1570,0.0
1580,0.0
1590,7.533333333333334
1600,4.0
1610,8.55
1620,8.05
1630,8.1
1640,0.0
1650,4.05
1660,1.925
1670,7.3
1680,8.4
1690,8.0
1700,7.8
1710,2.9
1720,8.1
1730,7.65
1740,0.0
1750,4.0
1760,0.0
1770,0.0
1780,0.0
1790,8.0
1800,0.0
1810,7.5
1820,0.0
1830,4.15
1840,5.75
1850,2.6333333333333333
1860,0.0
1870,3.13
1880,6.0
1890,0.0
1900,3.6500000000000004
1910,3.875
1920,7.304166666666666
1930,5.455
1940,5.971428571428571
1950,6.973611111111111
1960,6.52037037037037
1970,7.036666666666668
1980,6.327777777777778
1990,5.934375000000001
2000,6.890476190476191
